state,x,y
Andhra Pradesh,-67.0,-162.0
Arunachal Pradesh,211.0,98.0
Assam,186.0,61.0
Bihar,60.0,46.0
Chhattisgarh,-14.0,-40.0
Goa,-151.0,-154.0
Gujarat,-202.0,-11.0
Haryana,-112.0,116.0
Himachal Pradesh,-95.0,174.0
Jharkhand,49.0,4.0
Karnataka,-123.0,-169.0
Kerala,-110.0,-243.0
Madhya Pradesh,-74.0,-7.0
Maharashtra,-136.0,-82.0
Manipur,218.0,24.0
Meghalaya,156.0,41.0
Mizoram,187.0,-2.0
Nagaland,218.0,54.0
Odisha,32.0,-58.0
Punjab,-128.0,151.0
Rajasthan,-163.0,62.0
Sikkim,110.0,85.0
Tamil Nadu,-74.0,-238.0
Telangana,-66.0,-106.0
Tripura,167.0,7.0
Uttar Pradesh,-37.0,73.0
Uttarakhand,-57.0,139.0
West Bengal, 94.0,-11.0
